Variable,r_CSI,N
Export diversity,0.744,5158
Complexity Outlook Index,0.719,5158
Economic Complexity Index,0.714,5158
Intermediate imports (share),0.29,5158
Consumer-goods exports (share),0.163,5158
Fuel imports (share),-0.046,5158
Capital-goods imports (share),-0.064,5158
10-yr growth projection,-0.084,2720
Food & agri exports (share),-0.12,5158
Consumer-goods imports (share),-0.263,5158
Fuel exports (share),-0.302,5158
"Resource exports (share, HS25-27)",-0.369,5158
Food & agri imports (share),-0.55,5158
