sample,outcome,predictor,coef,se,z,p,sig,AR2_p,Hansen_p,n,n_inst
Full,co2_int,CSI,-0.0685,0.0588,-1.16,0.244,,0.083,0.009,1241,10
Full,co2_int,ECI-TRADE,-0.0224,0.0277,-0.81,0.418,,0.071,0.003,1241,10
Full,renew_pct,CSI,5.1305,4.1697,1.23,0.219,,0.116,0.004,1140,10
Full,renew_pct,ECI-TRADE,-0.3392,0.7217,-0.47,0.638,,0.073,0.001,1140,10
Full,ghg_pc,CSI,-0.0277,0.6699,-0.04,0.967,,0.847,0.251,1239,10
Full,ghg_pc,ECI-TRADE,-0.3803,0.8243,-0.46,0.645,,0.85,0.28,1239,10
African,co2_int,CSI,-0.2742,0.1802,-1.52,0.128,,0.357,0.075,432,10
African,co2_int,ECI-TRADE,-0.0364,0.0408,-0.89,0.373,,0.317,0.122,432,10
African,renew_pct,CSI,1.6797,3.6293,0.46,0.643,,0.881,0.091,399,10
African,renew_pct,ECI-TRADE,-0.3742,1.2187,-0.31,0.759,,0.741,0.087,399,10
African,ghg_pc,CSI,-0.56,0.3807,-1.47,0.141,,0.468,0.267,431,10
African,ghg_pc,ECI-TRADE,-0.8467,0.5799,-1.46,0.144,,0.46,0.187,431,10
