sample,outcome,predictor,threshold,beta_below,beta_above,beta_linear,F,p_boot,sig,n
Full,co2_int,CSI,0.997,0.0356,0.1627,0.0863,19.43,0.0,***,1345
Full,co2_int,ECI-TRADE,0.219,0.053,0.4076,0.1819,66.48,0.0,***,1345
Full,renew_pct,CSI,1.007,1.3546,-3.7714,-0.694,11.55,0.007,***,1244
Full,renew_pct,ECI-TRADE,-0.882,-1.6592,-6.5801,-3.868,11.14,0.0,***,1244
Full,ghg_pc,CSI,0.682,1.2507,-2.789,-0.8463,33.1,0.0,***,1343
Full,ghg_pc,ECI-TRADE,0.332,-2.5247,2.4139,-0.8031,30.19,0.0,***,1343
African,co2_int,CSI,-0.573,0.0185,-0.1868,-0.0676,25.81,0.0,***,468
African,co2_int,ECI-TRADE,-1.23,-0.1147,-0.2422,-0.1422,27.3,0.0,***,468
African,renew_pct,CSI,-0.625,-0.2923,11.328,4.7393,13.4,0.0,***,435
African,renew_pct,ECI-TRADE,-1.28,4.2058,17.7437,7.7341,41.33,0.0,***,435
African,ghg_pc,CSI,-0.808,-3.5714,1.0974,-1.1214,67.45,0.0,***,467
African,ghg_pc,ECI-TRADE,-1.283,-3.5556,-1.5399,-3.0149,16.69,0.0,***,467
